timestamp,coin,price
2026-09-24 15-34-13,bitcoin,83291
2026-09-24 15-34-13,ethereum,2642.47
2026-09-24 15-34-13,tether,0.999772
2026-09-24 15-34-13,binancecoin,766.91
2026-09-24 15-34-13,ripple,1.46
2026-09-24 15-34-13,usd-coin,0.999829
2026-09-24 15-34-13,solana,113.13
2026-09-24 15-34-13,tron,0.338875
2026-09-24 15-34-13,zcash,1478.75
2026-09-24 15-34-13,figure-heloc,1.035
2026-09-24 15-34-56,bitcoin,83291
2026-09-24 15-34-56,ethereum,2642.47
2026-09-24 15-34-56,tether,0.999772
2026-09-24 15-34-56,binancecoin,766.91
2026-09-24 15-34-56,ripple,1.46
2026-09-24 15-34-56,usd-coin,0.999829
2026-09-24 15-34-56,solana,113.13
2026-09-24 15-34-56,tron,0.338875
2026-09-24 15-34-56,zcash,1478.75
2026-09-24 15-34-56,figure-heloc,1.035
2026-09-24 15-36-21,bitcoin,83340
2026-09-24 15-36-21,ethereum,2642.55
2026-09-24 15-36-21,tether,0.99977
2026-09-24 15-36-21,binancecoin,766.97
2026-09-24 15-36-21,ripple,1.46
2026-09-24 15-36-21,usd-coin,0.99983
2026-09-24 15-36-21,solana,113.12
2026-09-24 15-36-21,tron,0.338845
2026-09-24 15-36-21,zcash,1477.01
2026-09-24 15-36-21,figure-heloc,1.035
2026-09-24 15-36-36,bitcoin,83340
2026-09-24 15-36-36,ethereum,2642.55
2026-09-24 15-36-36,tether,0.99977
2026-09-24 15-36-36,binancecoin,766.97
2026-09-24 15-36-36,ripple,1.46
2026-09-24 15-36-36,usd-coin,0.99983
2026-09-24 15-36-36,solana,113.12
2026-09-24 15-36-36,tron,0.338845
2026-09-24 15-36-36,zcash,1477.01
2026-09-24 15-36-36,figure-heloc,1.035
2026-09-24 15-43-23,bitcoin,83327
2026-09-24 15-43-23,ethereum,2640.79
2026-09-24 15-43-23,tether,0.999753
2026-09-24 15-43-23,binancecoin,767.02
2026-09-24 15-43-23,ripple,1.46
2026-09-24 15-43-23,usd-coin,0.999803
2026-09-24 15-43-23,solana,113.09
2026-09-24 15-43-23,tron,0.338697
2026-09-24 15-43-23,zcash,1470.85
2026-09-24 15-43-23,figure-heloc,1.035
